fips,lat,lon
31039,41.91640371079448,-96.78740067156328
53069,46.29113381398982,-123.43346991362158
35011,34.34241351170314,-104.41195788796497
31109,40.78417354489708,-96.68775550398634
31129,40.1763796295172,-98.04718498967358
72085,18.187526524092267,-65.86931738305522
46099,43.67417823149422,-96.7914365083084
48327,30.88978200692798,-99.8206358613257
06091,39.58040010154589,-120.51599637831005
21053,36.72748162547399,-85.13601356018083
39063,41.00193837569518,-83.66653540649669
48189,34.070512509629566,-101.82688130032702
01027,33.26908586733422,-85.86054708469257
48011,34.96492558615932,-101.3574043387752
39003,40.77152070381405,-84.10577942695238
13189,33.48283311260717,-82.48139944716256
55111,43.42666338458975,-89.94821666676684
05137,35.859876204313046,-92.1567463780942
41063,45.5798653729376,-117.18102000908081
42007,40.68226225816678,-80.34929543182244
28061,32.019148113284224,-89.11888175808785
29083,38.385163021045194,-93.79275002978275
08109,38.08055275484528,-106.281555561785
37037,35.702581878672184,-79.2553041941468
49033,41.632253425796634,-111.24450979723022
40001,35.88393414282883,-94.65873914037067
39085,41.910352126584655,-81.2509392381318
51775,37.28640408759348,-80.05546950721563
51121,37.17429075214853,-80.38721544272137
47065,35.18080866497657,-85.16475736286709
35035,32.613144676719934,-105.74144255453645
35003,33.91535188424662,-108.40476239895617
01091,32.24761341276658,-87.78951929211173
56023,42.26380161858695,-110.6559472761991
29011,37.502300583296844,-94.34711077469835
48057,28.43910926855146,-96.61507367330577
51735,37.15027831950901,-76.2704999954761
54075,38.33179534201178,-80.00775249760441
48077,33.785531038823045,-98.20850330465801
51095,37.31333765686659,-76.77386709969947
31101,41.198794905934086,-101.66139598089362
31137,40.51111304846777,-99.41454289763938
22019,30.229293603234357,-93.3580047975582
22111,32.83189241706692,-92.3748018580639
40135,35.49534600819758,-94.75518871256271
01049,34.45976662489959,-85.80414373090842
36101,42.267817947917194,-77.38380248339276
42053,41.513070931407476,-79.2360156528084
22105,30.626645940879055,-90.40566272862532
51179,38.420719016517396,-77.45740038288227
26109,45.52512135708317,-87.50968400205628
18073,41.02299830455529,-87.11612124188164
13025,31.196876111835056,-81.98189236382562
13171,33.07653575835189,-84.13946265589313
18151,41.643867868399596,-85.00076485073733
48361,30.121308296626534,-93.8938981104591
39047,39.55988300249614,-83.45609728016497
25015,42.34015463494627,-72.66378657235751
21003,36.75131655337193,-86.19041866932973
37001,36.04370987716588,-79.39942481694268
20073,37.877787563764905,-96.23263566980548
25025,42.348689878562745,-70.9856053691028
16051,43.82013245310647,-112.31130246014156
48177,29.456733333703706,-97.49252375504793
47115,35.12933274816757,-85.62199243637203
26007,45.031107506736944,-83.16520109097407
21231,36.80126524034038,-84.82863119840866
47185,35.92634842898267,-85.45517717980266
48147,33.593809793070186,-96.10682768349515
20043,39.788080612869784,-95.14679424313465
48265,30.061483803662885,-99.35015975322922
12053,28.55748031641944,-82.5282238023141
12129,30.0947525470326,-84.34918699010963
12131,30.571230026740118,-86.1744452122745
28017,33.9207998595843,-88.9478637891342
02130,55.488514859469426,-131.030510342727
26035,43.98789186631926,-84.84786074874728
20157,39.82779632161955,-97.65062277276466
12127,29.063447505247865,-81.14857435739285
40017,35.54244457867297,-97.9824012985514
72115,18.463048271445636,-66.92626636523023
78030,18.32860168762371,-64.96708278568704
13115,34.26316269149035,-85.21427864507204
32001,39.58088742637855,-118.3357310298619
31181,40.176433211604994,-98.49994737503116
17067,40.40377473434342,-91.16469554802966
46067,43.33484668828908,-97.75441623499542
41013,44.142179837187086,-120.35658095016998
50011,44.85778219005587,-72.91307347029898
26103,46.6628779661105,-87.57352410340589
09007,41.43538180421848,-72.5231194292425
37057,35.79333234068395,-80.21275678128492
17025,38.75417149490683,-88.49023742230517
29103,40.128254892877955,-92.1480723868072
29117,39.7821029110547,-93.54827927862014
42117,41.77216865350809,-77.2542805188284
31043,42.391111817353334,-96.56451300821124
26089,45.15177085835466,-86.0384960520472
51181,37.11691216034846,-76.88830957001885
48391,28.32157530008196,-97.1595214632186
39017,39.4386277037545,-84.57562560864731
13273,31.77688098636057,-84.43692220132554
13063,33.54190077089126,-84.35766776579078
56013,43.040528097310045,-108.63041812366376
18115,38.95009581145488,-84.9650329264381
13073,33.54412079712809,-82.26409652914084
08115,40.87590496413018,-102.35179119474529
30065,46.49656118510256,-108.39808813007221
42043,40.41543282542651,-76.77947276018914
46101,44.022011363044975,-96.67092202748037
54079,38.50861677985515,-81.90899292733585
34037,41.139306674217835,-74.69083932840049
20039,39.784756492047265,-100.45989954482748
18123,38.079636038659956,-86.63802967691663
28145,34.49047422885068,-89.0038569111172
31015,42.899684762526384,-98.7664619491018
27095,45.93804597724951,-93.63009509456516
38099,48.36945603584113,-97.7213240866859
39115,39.62037347281187,-81.85266189845377
39133,41.167682835688275,-81.19740373180883
56041,41.2874919209699,-110.54756169338141
32013,41.40684657046145,-118.11196582756365
48247,27.043397136790215,-98.69730506846358
08017,38.827939720656744,-102.60339582390323
41005,45.18804510510809,-122.22086936709829
05113,34.485761403487324,-94.2281750894663
13193,32.35838259453905,-84.04247941309363
18007,40.60625846344815,-87.31090601887686
47129,36.135024412189836,-84.64920374122458
46043,43.386924161143746,-98.36609835621233
24047,38.21649998247135,-75.29667082143754
17185,38.44610160297556,-87.8442748888096
18069,40.829239957462605,-85.48817227771629
21209,38.291547315842124,-84.58393389407868
19053,40.737682709978664,-93.78628140985255
18169,40.84569300578795,-85.79400567386055
18003,41.090870880149886,-85.0665620400232
18099,41.32484895987211,-86.26176129125336
31171,41.91358523815328,-100.55588635703486
