period,plantid,latitude,longitude,point_url
2023-01,7182,61.580678,-159.535643,"https://api.weather.gov/gridpoints/ALU/693,324/forecast"
2023-01,6559,61.229713,-149.716744,"https://api.weather.gov/gridpoints/AER/128,237/forecast"
2023-01,57036,61.167417,-149.905304,"https://api.weather.gov/gridpoints/AER/125,234/forecast"
2023-01,6291,60.392331,-149.665603,"https://api.weather.gov/gridpoints/AER/129,205/forecast"
2023-01,6293,61.168972,-149.911038,"https://api.weather.gov/gridpoints/AER/125,234/forecast"
2023-01,390,61.0828,-146.3033,
2023-01,6305,62.110415,-145.532529,"https://api.weather.gov/gridpoints/AER/200,272/forecast"
2023-01,6306,61.1303,-146.3647,"https://api.weather.gov/gridpoints/AER/188,235/forecast"
2023-01,7841,61.0839,-146.2529,"https://api.weather.gov/gridpoints/AER/190,233/forecast"
2023-01,58982,61.084444,-146.353333,
2023-01,109,59.042914,-158.468597,"https://api.weather.gov/gridpoints/ALU/698,227/forecast"
2023-01,7437,64.74417,-156.8736,"https://api.weather.gov/gridpoints/AFG/350,122/forecast"
2023-01,6288,63.8542,-148.95,"https://api.weather.gov/gridpoints/AFG/474,83/forecast"
2023-01,56325,64.028056,-145.719444,"https://api.weather.gov/gridpoints/AFG/526,91/forecast"
2023-01,6285,64.7356,-147.3481,"https://api.weather.gov/gridpoints/AFG/498,116/forecast"
2023-01,6286,64.854171,-147.719351,"https://api.weather.gov/gridpoints/AFG/492,120/forecast"
2023-01,57583,64.8167,-147.725,"https://api.weather.gov/gridpoints/AFG/492,119/forecast"
2023-01,57935,64.058333,-148.9,"https://api.weather.gov/gridpoints/AFG/475,90/forecast"
2023-01,7174,66.566287,-145.253052,"https://api.weather.gov/gridpoints/AFG/526,184/forecast"
2023-01,90,64.505331,-165.429814,"https://api.weather.gov/gridpoints/AFG/217,139/forecast"
2023-01,91,56.81104,-132.957091,"https://api.weather.gov/gridpoints/AJK/238,117/forecast"
2023-01,92,60.130922,-149.43501,"https://api.weather.gov/gridpoints/AER/133,196/forecast"
2023-01,7462,57.499166,-134.58614,"https://api.weather.gov/gridpoints/AJK/198,133/forecast"
2023-01,7463,58.106432,-135.43074,"https://api.weather.gov/gridpoints/AJK/176,150/forecast"
2023-01,7464,56.962983,-133.922557,"https://api.weather.gov/gridpoints/AJK/217,117/forecast"
2023-01,54422,53.8796,-166.5532,"https://api.weather.gov/gridpoints/ALU/490,73/forecast"
2023-01,6283,59.439542,-151.713439,"https://api.weather.gov/gridpoints/AER/90,170/forecast"
2023-01,7488,70.642877,-160.020461,"https://api.weather.gov/gridpoints/AFG/338,339/forecast"
2023-01,6292,60.6935,-151.3874,"https://api.weather.gov/gridpoints/AER/98,217/forecast"
2023-01,7367,59.77862,-150.94015,"https://api.weather.gov/gridpoints/AER/105,183/forecast"
2023-01,55966,60.676539,-151.377713,"https://api.weather.gov/gridpoints/AER/98,216/forecast"
2023-01,57206,60.499444,-150.997222,"https://api.weather.gov/gridpoints/AER/105,210/forecast"
2023-01,50711,64.854171,-147.822075,"https://api.weather.gov/gridpoints/AFG/491,120/forecast"
2023-01,7482,70.4826,-157.4252,"https://api.weather.gov/gridpoints/AFG/368,329/forecast"
2023-01,7483,70.125617,-143.619033,"https://api.weather.gov/gridpoints/AFG/535,315/forecast"
2023-01,7484,70.220565,-150.993492,"https://api.weather.gov/gridpoints/AFG/445,314/forecast"
2023-01,54834,63.973572,-145.716581,"https://api.weather.gov/gridpoints/AFG/526,89/forecast"
2023-01,7502,53.892459,-166.538185,"https://api.weather.gov/gridpoints/ALU/490,73/forecast"
2023-01,7503,53.863993,-166.512591,"https://api.weather.gov/gridpoints/ALU/491,72/forecast"
2023-01,6702,57.957197,-136.220095,"https://api.weather.gov/gridpoints/AJK/162,141/forecast"
2023-01,7183,59.899054,-154.698735,"https://api.weather.gov/gridpoints/ALU/773,251/forecast"
2023-01,7485,68.348424,-166.737211,"https://api.weather.gov/gridpoints/AFG/237,279/forecast"
2023-01,7486,69.740833,-163.005833,"https://api.weather.gov/gridpoints/AFG/296,315/forecast"
2023-01,7487,68.13795,-151.741017,"https://api.weather.gov/gridpoints/AFG/434,239/forecast"
2023-01,6299,63.876789,-160.790414,"https://api.weather.gov/gridpoints/AFG/284,100/forecast"
2023-01,50308,64.825601,-147.648627,"https://api.weather.gov/gridpoints/AFG/494,119/forecast"
2023-01,95,56.460976,-132.379439,"https://api.weather.gov/gridpoints/AJK/253,108/forecast"
2023-01,54305,53.858508,-166.55288,"https://api.weather.gov/gridpoints/ALU/490,72/forecast"
2023-01,50392,64.67141,-147.075988,"https://api.weather.gov/gridpoints/AFG/503,114/forecast"
2023-01,52184,60.677,-151.3815,"https://api.weather.gov/gridpoints/AER/98,216/forecast"
2023-01,789,60.555889,-145.752983,"https://api.weather.gov/gridpoints/AER/201,214/forecast"
2023-01,7042,60.612822,-145.679411,"https://api.weather.gov/gridpoints/AER/202,217/forecast"
2023-01,7862,60.588686,-145.604539,"https://api.weather.gov/gridpoints/AER/203,216/forecast"
2023-01,62714,60.54047,-145.74079,"https://api.weather.gov/gridpoints/AER/201,214/forecast"
2023-01,58117,70.2,-148.466667,"https://api.weather.gov/gridpoints/AFG/476,313/forecast"
2023-01,58278,70.235278,-148.383611,"https://api.weather.gov/gridpoints/AFG/477,314/forecast"
2023-01,93,57.0516,-135.2297,"https://api.weather.gov/gridpoints/AJK/190,113/forecast"
2023-01,313,56.986284,-135.12275,"https://api.weather.gov/gridpoints/AJK/193,111/forecast"
