fips,lat,lon,point_url
20043,39.78808061,-95.14679424,"https://api.weather.gov/gridpoints/EAX/24,82/forecast"
48265,30.0614838,-99.35015975,"https://api.weather.gov/gridpoints/EWX/95,83/forecast"
12053,28.55748032,-82.5282238,"https://api.weather.gov/gridpoints/TBW/66,124/forecast"
12129,30.09475255,-84.34918699,"https://api.weather.gov/gridpoints/TAE/83,71/forecast"
12131,30.57123003,-86.17444521,"https://api.weather.gov/gridpoints/TAE/12,87/forecast"
28017,33.92079986,-88.94786379,"https://api.weather.gov/gridpoints/MEG/85,14/forecast"
2130,55.48851486,-131.0305103,"https://api.weather.gov/gridpoints/AJK/292,82/forecast"
26035,43.98789187,-84.84786075,"https://api.weather.gov/gridpoints/GRR/65,96/forecast"
20157,39.82779632,-97.65062277,"https://api.weather.gov/gridpoints/TOP/13,85/forecast"
12127,29.06344751,-81.14857436,"https://api.weather.gov/gridpoints/MLB/33,92/forecast"
40017,35.54244458,-97.9824013,"https://api.weather.gov/gridpoints/OUN/81,97/forecast"
72115,18.46304827,-66.92626637,"https://api.weather.gov/gridpoints/SJU/93,131/forecast"
78030,18.32860169,-64.96708279,"https://api.weather.gov/gridpoints/SJU/257,120/forecast"
13115,34.26316269,-85.21427865,"https://api.weather.gov/gridpoints/FFC/19,107/forecast"
32001,39.58088743,-118.335731,"https://api.weather.gov/gridpoints/REV/96,99/forecast"
31181,40.17643321,-98.49994738,"https://api.weather.gov/gridpoints/GID/62,50/forecast"
17067,40.40377473,-91.16469555,"https://api.weather.gov/gridpoints/DVN/49,15/forecast"
46067,43.33484669,-97.75441623,"https://api.weather.gov/gridpoints/FSD/63,55/forecast"
41013,44.14217984,-120.356581,"https://api.weather.gov/gridpoints/PDT/68,39/forecast"
50011,44.85778219,-72.91307347,"https://api.weather.gov/gridpoints/BTV/96,76/forecast"
26103,46.66287797,-87.5735241,"https://api.weather.gov/gridpoints/MQT/147,76/forecast"
9007,41.4353818,-72.52311943,"https://api.weather.gov/gridpoints/OKX/78,76/forecast"
37057,35.79333234,-80.21275678,"https://api.weather.gov/gridpoints/RAH/18,51/forecast"
17025,38.75417149,-88.49023742,"https://api.weather.gov/gridpoints/ILX/90,11/forecast"
29103,40.12825489,-92.14807239,"https://api.weather.gov/gridpoints/LSX/25,140/forecast"
29117,39.78210291,-93.54827928,"https://api.weather.gov/gridpoints/EAX/80,82/forecast"
42117,41.77216865,-77.25428052,"https://api.weather.gov/gridpoints/CTP/84,104/forecast"
31043,42.39111182,-96.56451301,"https://api.weather.gov/gridpoints/FSD/103,11/forecast"
26089,45.15177086,-86.03849605,"https://api.weather.gov/gridpoints/APX/14,64/forecast"
51181,37.11691216,-76.88830957,"https://api.weather.gov/gridpoints/AKQ/67,61/forecast"
48391,28.3215753,-97.15952146,"https://api.weather.gov/gridpoints/CRP/122,57/forecast"
39017,39.4386277,-84.57562561,"https://api.weather.gov/gridpoints/ILN/32,53/forecast"
13273,31.77688099,-84.4369222,"https://api.weather.gov/gridpoints/TAE/74,145/forecast"
13063,33.54190077,-84.35766777,"https://api.weather.gov/gridpoints/FFC/52,78/forecast"
56013,43.0405281,-108.6304181,"https://api.weather.gov/gridpoints/RIW/111,111/forecast"
18115,38.95009581,-84.96503293,"https://api.weather.gov/gridpoints/ILN/20,30/forecast"
13073,33.5441208,-82.26409653,"https://api.weather.gov/gridpoints/CAE/21,36/forecast"
